,UIDs,SMILES,Kmeans Class,Hierarchal Class
213,2357,c12c3C=C4[C@H](c1cccc2ccc3)C=CC=C4,2,0
214,831,c1cccc2c1cc1c(n2)ccc2c1cccc2,2,0
215,830,c1cccc2c1nc1c(c2)ccc2c1cccc2,2,0
216,293,c1cccc2c1c1c(cc2)c2c(cc1)nccc2,2,0
217,285,c1cccc2c1cc1c(c2)ccc2c1nccc2,2,0
218,297,c1cccc2c1c1c(cc2)c2c(cc1)cccn2,2,0
219,295,c1cccc2c1c1c(cc2)c2c(cc1)cncc2,2,0
220,289,c1cccc2c1cc1c(c2)ccc2c1ccnc2,2,0
221,287,c1cccc2c1cc1c(c2)ccc2c1cncc2,2,0
222,342,c12c3c(cc4c1cccc4)CCCc3ccc2,2,0
223,294,c1cccc2c1c1c(cc2)c2c(cc1)nccc2,2,0
224,286,c1cccc2c1cc1c(c2)ccc2c1nccc2,2,0
225,298,c1cccc2c1c1c(cc2)c2c(cc1)cccn2,2,0
226,296,c1cccc2c1c1c(cc2)c2c(cc1)cncc2,2,0
227,290,c1cccc2c1cc1c(c2)ccc2c1ccnc2,2,0
228,288,c1cccc2c1cc1c(c2)ccc2c1cncc2,2,0
229,210,c12c(cc3c(c1)cc1c(c3)cccc1)cccc2,2,0
230,4014,c12c(c3c(cccc3)c3c2cccc3)cccc1,2,0
231,2363,c12c3c4[c][c]c1[c][c]c1c2c(c3[c][c][c]4)[c][c][c]1,3,2
232,2361,c12c3c([c][c]c1c1c([c][c]2)[c][c][c][c]1)[c][c][c][c]3,3,2
233,2362,c12c3c(c4c(c1[c][c][c][c]2)[c][c][c][c]4)[c][c][c][c]3,3,2
234,2355,c12c3c(ccc1ccc1c2cccc1)cccc3,2,0
235,211,c12c(c3c(cccc3)c3c2cccc3)cccc1,2,0
236,2356,c12c3c(c4c(c1cccc2)cccc4)cccc3,2,0
237,291,c12c(c3c(cc1)c1c(cc3)cccc1)cccc2,2,0
238,282,c1c2c(cc3c1cc1c(c3)cccc1)cccc2,2,0
239,280,c1cccc2c1cc1c(c2)ccc2c1cccc2,2,0
240,4015,c12c3c(c4ccccc4c2cccc1)cccc3,2,0
241,355,c12c(c3c(CCCC3)c3c2CCCC3)CCCC1,2,0
242,292,c12c(c3c(cc1)c1c(cc3)cccc1)cccc2,2,0
243,283,c1c2c(cc3c1cc1c(c3)cccc1)cccc2,2,0
244,281,c1cccc2c1cc1c(c2)ccc2c1cccc2,2,0
245,4013,c12c3c(c4ccccc4c2cccc1)cccc3,2,0
246,64,c12c3c4[C@@H]5c(ccc4ccc3ccc1)cccc5c2,2,0
247,2364,c12c3c4[c]c5[C@H]1c([c][c]c2[c][c]c3[c][c][c]4)[c][c][c]5,3,2
248,57,c12c3c4[C@H]5c(ccc4ccc3ccc1)cccc5c2,2,0
249,63,C12=C3C4=C(C=CC5=CC=CC(=C2)[C@H]45)CC=C3CC=C1,2,0
250,62,c12c3c4c5c(ccc4=CCc3ccc1)cccc5c2,2,0
251,61,c12c3c4c5c(ccc4ccc3CC=C1)cccc5c2,2,0
252,60,c12c3c4c5c(ccc4ccc3[CH]C[CH]1)cccc5c2,2,0
253,59,c12c3c4c5c(ccc4ccc3C=CC1)cccc5c2,2,0
254,58,c12c3c4c5c(ccc4ccc3ccc1)cccc5C2,2,0
255,348,c12c3c4c(cc2ccc2c1c(ccc2)cc3)C=CC4,2,0
256,349,c12c3c4c(cc2ccc2c1c(ccc2)cc3)CCC4,2,0
257,350,c12c3c4c(cc2CCc2c1c(ccc2)CC3)C=CC4,2,0
258,351,c12c3c4c(cc2CCc2c1c(ccc2)CC3)CCC4,2,0
259,56,c12c3c4c5c(C=C[C@@H]4C=Cc3ccc1)cccc5c2,2,0
260,374,C1Cc2c(C1)c1c3c(ccc4c3c(ccc4)cc1)c2,2,0
261,160,c12c3c4c5c1c1ccc5ccc4ccc3ccc2cc1,2,0
262,552,c12c3c4cccc3c3c(c2cccc1cc4)cccc3,2,0
263,398,c12c3cccc1c1c(c2ccc3)c2c(cc1)cccc2,2,0
264,397,c12c3cccc1c1c(c2c2c(c3)cccc2)cccc1,2,0
265,2367,c12=C3[C]=[C][C@@H]4c2c2c5=C([C]=[C][C@H]42)[C]=[C][C@@H]2c5c1[C@@H]2[C]=[C]3,3,2
266,2366,c12c3[c][c]c4c1c([c][c]c2c1c([c]3)[c][c][c][c]1)[c][c][c]4,3,2
267,2365,c12c3c4c(c5c1c([c][c]c2[c][c][c]3)[c][c][c]5)[c][c][c][c]4,3,2
268,159,c12c3c4c5c1c1ccc5ccc4ccc3ccc2cc1,2,0
269,829,c12c3c(c4c5c1cccc5ccc4)cccc3ccc2,2,0
270,345,c1ccc2c3c1ccc1c3c(cc3c1cccc3)cc2,2,0
271,395,c12c3cccc1c1c(c2ccc3)c2c(cc1)cccc2,2,0
272,393,c12c3cccc1c1c(c2ccc3)cc2c(c1)cccc2,2,0
273,391,c12c3cccc1c1c(c2cc2c3cccc2)cccc1,2,0
274,389,c12c3cccc1c1c(c2c2c(c3)cccc2)cccc1,2,0
275,343,c12c3c4c(c5c1cccc5)cccc4ccc3ccc2,2,0
276,358,c1cccc2c1[C@@H]1c3ccccc3[C@H]2c2ccccc12,2,0
277,346,c1ccc2c3c1ccc1c3c(cc3c1CCC=C3)cc2,2,0
278,344,c12c3c4c(c5c1C=CCC5)cccc4ccc3ccc2,2,0
279,347,c1ccc2c3c1ccc1c3c(cc3c1CCCC3)cc2,2,0
280,161,c12c3c4c5c1c1ccc2ccc3ccc4ccc5cc1,2,0
281,369,c1ccc2c3c1ccc1c3c(cc3c1cccc3)cc2,2,0
282,396,c12c3cccc1c1c(c2ccc3)c2c(cc1)cccc2,2,0
283,394,c12c3cccc1c1c(c2ccc3)cc2c(c1)cccc2,2,0
284,392,c12c3cccc1c1c(c2cc2c3cccc2)cccc1,2,0
285,390,c12c3cccc1c1c(c2c2c(c3)cccc2)cccc1,2,0
286,367,c12c3c4c(c5c1cccc5)cccc4ccc3ccc2,2,0
287,373,c1ccc2c3c1ccc1c3c(cc3c1C=CCC3)cc2,2,0
288,370,c1ccc2c3c1ccc1c3c(cc3c1CCC=C3)cc2,2,0
289,368,c12c3c4c(c5c1C=CCC5)cccc4ccc3ccc2,2,0
290,2372,[C@@H]12C3=[C][C]=[C]C2=[C][C]=[C]C1=c1c(=[C]3)c2c([c][c]1)[c][c][c][c]2,3,2
291,2371,C12=C3C4=C5[C@H]6[C]=[C]C4=[C][C@H]1[C]=[C][C]=C2[C]=[C][C@@H]3C5=[C][C]=[C]6,3,2
292,2370,c12c3[C]=C4[C@H](c1[c][c][c]c2c1c([c]3)[c][c][c][c]1)[C]=[C][C]=[C]4,3,2
293,2369,c12c3[CH]c4c5c1c1c([c]c2[c][c][c]3)[c][c][c]c1c5[c][c][c]4,3,2
294,2368,[C@@H]12C3=[C][C]=[C]C2=c2c(=[C]C1=c1c(=[C]3)[c][c][c][c]1)[c][c][c][c]2,3,2
295,2354,[C@H]12C3=Cc4c(C1=Cc1c(C2=CC=C3)cccc1)cccc4,2,0
296,2353,c12c3C=C4[C@@H](c1c1c(cc2ccc3)cccc1)C=CC=C4,2,0
297,2352,c12c3C=C4[C@H](c1cccc2c1c(c3)cccc1)C=CC=C4,2,0
298,2351,c12c3C=C4[C@@H](c1cccc2ccc3)c1c(C=C4)cccc1,2,0
299,2350,c12c3Cc4c(c1cccc2ccc3)cc1c(c4)cccc1,2,0
300,2349,c12c3C=C4[C@@H](c1cccc2ccc3)C=Cc1c4cccc1,2,0
301,833,c1cccc2c1nc1c(c2)c2c(c3c1cccc3)cccc2,2,0
302,311,c1c2c(nc3c1c1c(cc3)cccc1)ccc1c2cccc1,2,0
303,309,n1c2c(cc3c1c1c(cc3)cccc1)ccc1c2cccc1,2,0
304,303,n1c2c(cc3c1ccc1c3cccc1)ccc1c2cccc1,2,0
305,313,c1c2c(nc3c1c1c(cc3)cccc1)ccc1c2cccc1,2,0
306,304,n1c2c(cc3c1ccc1c3cccc1)ccc1c2cccc1,2,0
307,310,n1c2c(cc3c1c1c(cc3)cccc1)ccc1c2cccc1,2,0
308,3157,c12c3ccc4c1c(cc1c2c2c(c3)cccc2cc1)ccc4,2,0
309,2380,c12c3c4[c]c5c1c1c([c]c2[c][c]c3[c][c][c]4)[c][c][c]c1[c][c]5,3,2
310,2379,c12[C@@H]3C4=[C]c5c1c([c]c1c2c([CH]C3=[C][C]=[C]4)[c][c][c]1)[c][c][c]5,3,2
311,2378,c12c3c([c][c]c1c1c([c][c]2)[c][c][c][c]1)c1c([c][c]3)[c][c][c][c]1,3,2
312,2377,c12c3c4[c][c]c1[c][c]c1c2c(c3[c]c2c4[c][c][c][c]2)[c][c][c]1,3,2
313,2376,c12c3c4[c][c]c1[c][c]c1c2c([c][c][c]1)c1c3c([c][c]4)[c][c][c]1,3,2
314,2375,c12c3c4[c][c]c1[c]c1c(c2c2c3c([c][c]4)[c][c][c]2)[c][c][c][c]1,3,2
315,2374,c12c3c4c5c(c1[c][c]c1c2c(c3[c][c][c]4)[c][c][c]1)[c][c][c][c]5,3,2
316,2373,c12c3c(c4c(c1[c]c1c([c]2)[c][c][c][c]1)[c][c][c][c]4)[c][c][c][c]3,3,2
317,2348,C12=c3c4=CC5=CC=CC(=Cc6c2c(Cc3ccc4)ccc6)[C@@H]15,2,0
318,2347,c12c3c4cc5c1c1c(cc2ccc3ccc4)cccc1cc5,2,0
319,284,c12c3c4c5c(ccc4ccc3ccc1)ccc1c5c2ccc1,2,0
320,2346,c12c3c(c4c(c1cc1c(c2)cccc1)cccc4)cccc3,2,0
